par,tf,fecha,lado,ancho,obj,R,rr,coste,tp,N,fuera
GBPUSD,H12,2021-05-07 00:00:00,-1,1.25,opuesto,-1.0,1.0676056338028856,0.045070422535212006,0,-1.045070422535212,False
GBPUSD,H12,2021-05-07 00:00:00,-1,1.25,medio,0.1464788732394604,0.1464788732394604,0.045070422535212006,1,0.10140845070424839,False
GBPUSD,H12,2021-05-07 00:00:00,-1,1.25,ext150,-1.0,2.763380281690213,0.045070422535212006,0,-1.045070422535212,False
GBPUSD,H12,2021-05-07 00:00:00,-1,1.5,opuesto,-1.0,0.8896713615024047,0.03755868544601001,0,-1.03755868544601,False
GBPUSD,H12,2021-05-07 00:00:00,-1,1.5,medio,0.12206572769955033,0.12206572769955033,0.03755868544601001,1,0.08450704225354033,False
GBPUSD,H12,2021-05-07 00:00:00,-1,1.5,ext150,-1.0,2.302816901408511,0.03755868544601001,0,-1.03755868544601,False
GBPUSD,H12,2021-05-07 00:00:00,-1,2.0,opuesto,-1.0,0.6672535211268035,0.028169014084507504,0,-1.0281690140845074,False
GBPUSD,H12,2021-05-07 00:00:00,-1,2.0,medio,0.09154929577466275,0.09154929577466275,0.028169014084507504,1,0.06338028169015525,False
GBPUSD,H12,2021-05-07 00:00:00,-1,2.0,ext150,-1.0,1.727112676056383,0.028169014084507504,0,-1.0281690140845074,False
GBPUSD,H12,2021-05-11 00:00:00,1,1.0,opuesto,0.3093525179856142,0.3093525179856142,0.03836930455635486,1,0.27098321342925935,False
