R,neta,mot,rgo,hniv,izq,velas,pos,i
-1.0,-1.269760422561792,SL,5.300999999999778,21,0,20,0.18750000000000963,EURUSD
2.0,1.9249934434828233,TP,19.06500000000033,19,12,78,1.103068450039333,EURUSD
-1.0,-1.158519011196095,SL,9.021000000000168,19,0,64,0.9889850511408317,EURUSD
2.0,1.8304079696394775,TP,8.43200000000044,12,0,72,0.61768368617682,EURUSD
-1.0,-1.096706566578748,SL,14.78700000000055,12,0,27,0.8256537982565292,EURUSD
2.0,1.6557534906115132,TP,4.154000000000657,19,0,4,-0.13342696629213543,EURUSD
2.0,1.8176718092566786,TP,7.8430000000007105,5,76,25,-0.5308988764044784,EURUSD
-1.0,-1.1938194632691759,SL,7.378000000000107,5,0,27,-0.4775280898876492,EURUSD
-1.0,-1.3632207264414047,SL,3.9370000000005234,5,0,25,0.273792093704247,EURUSD
-1.0,-1.145059849868122,SL,9.858000000000366,23,0,89,-0.23404255319162004,EURUSD
-1.0,-1.145059849868122,SL,9.858000000000366,23,3,89,-0.23404255319162004,EURUSD
-1.0,-1.2341575241526255,SL,6.1069999999996405,16,15,18,-3.510638297872411,EURUSD
2.0,1.82258064516126,TP,8.059999999998624,23,7,44,1.4042553191492477,EURUSD
2.0,1.82258064516126,TP,8.059999999998624,23,0,44,1.4042553191492477,EURUSD
-1.0,-1.2250196695515303,SL,6.355000000000111,5,0,15,3.8723404255320153,EURUSD
2.0,1.7559310462536848,TP,5.859000000001391,14,14,37,1.0844748858447437,EURUSD
-1.0,-1.3548387096774799,SL,4.029999999999312,0,0,23,1.1095890410958973,EURUSD
2.0,1.6531651709918362,TP,4.1229999999981,2,0,6,0.6411992263056214,EURUSD
-1.0,-1.069681317610375,SL,20.521999999998375,14,0,94,1.0232108317214716,EURUSD
-1.0,-1.0847960151802725,SL,16.863999999998658,21,0,67,0.921663442940041,EURUSD
2.0,1.843630399125193,TP,9.144999999999293,11,14,52,0.9565667011375301,EURUSD
2.0,1.8037062457103394,TP,7.284999999999098,21,0,14,0.6721820062047701,EURUSD
2.0,1.781378994037606,TP,6.540999999999908,21,8,18,1.0579567779960792,EURUSD
-1.0,-1.1114227832320456,SL,12.833999999999346,23,0,86,1.309859154929736,EURUSD
2.0,1.7533206831118906,TP,5.796999999998498,14,17,9,3.464788732394604,EURUSD
-1.0,-1.1130613535736915,SL,12.647999999999548,23,0,51,0.22535211267628538,EURUSD
