lado,t,ent,stop,obj,rgoP,largo,gana,Rb,Rn,anio
compra,2025-02-12 15:30:00,1.03774,1.03168,1.0498600000000005,60.600000000001764,True,1,2,1.9764026402640271,2025
compra,2025-02-17 10:00:00,1.04822,1.04708,1.0504999999999998,11.399999999999189,True,0,-1,-1.125438596491237,2025
venta,2025-02-18 03:45:00,1.0463,1.04705,1.0448,7.500000000000284,False,1,2,1.8093333333333406,2025
compra,2025-02-18 15:00:00,1.04581,1.04414,1.0491499999999996,16.699999999998383,True,0,-1,-1.0856287425149784,2025
compra,2025-02-19 19:00:00,1.0426,1.04009,1.04762,25.100000000000122,True,1,2,1.9430278884462153,2025
compra,2025-02-21 14:45:00,1.04807,1.04596,1.0522900000000002,21.100000000000563,True,0,-1,-1.0677725118483394,2025
venta,2025-02-26 03:15:00,1.05029,1.0525,1.0458699999999999,22.100000000000453,False,0,-1,-1.0647058823529398,2025
venta,2025-02-26 10:15:00,1.0493,1.05113,1.04564,18.299999999999983,False,0,-1,-1.0781420765027323,2025
compra,2025-02-26 15:15:00,1.04952,1.04813,1.0523,13.900000000000023,True,0,-1,-1.1028776978417265,2025
venta,2025-02-27 15:00:00,1.0413,1.04893,1.0260399999999998,76.30000000000025,False,0,-1,-1.0187418086500655,2025
venta,2025-02-28 15:45:00,1.03998,1.04141,1.0371199999999998,14.300000000000423,False,1,2,1.900000000000003,2025
compra,2025-03-03 11:00:00,1.04488,1.03883,1.0569800000000003,60.50000000000111,True,1,2,1.9763636363636368,2025
venta,2025-03-04 14:15:00,1.05281,1.05596,1.04651,31.49999999999986,False,0,-1,-1.0453968253968255,2025
venta,2025-03-06 03:15:00,1.07964,1.082,1.0749199999999997,23.600000000001398,False,0,-1,-1.0605932203389794,2025
compra,2025-03-06 05:45:00,1.08102,1.0784,1.0862600000000002,26.200000000000667,True,0,-1,-1.0545801526717544,2025
compra,2025-03-07 19:45:00,1.08425,1.08254,1.0876699999999997,17.099999999998783,True,0,-1,-1.083625730994158,2025
compra,2025-03-09 22:00:00,1.08609,1.08269,1.0928900000000001,34.000000000000696,True,0,-1,-1.0420588235294108,2025
compra,2025-03-10 18:45:00,1.08315,1.08175,1.0859500000000002,14.000000000000679,True,1,2,1.8978571428571478,2025
