par,t,d,rr,R,neta,tp,p_D5,p_D10,p_D20,p_W3,p_W6,p_W12,bd,fuera
EURUSD,2020-08-12 12:00:00,1,2.132432432432501,0.8486486486486557,0.8228828828828897,0,-1,-1,-1,-1,-1,-1,-1,False
EURUSD,2020-08-14 00:00:00,-1,1.8364197530864401,-1.0,-1.0294238683127581,0,-1,-1,-1,-1,-1,-1,1,False
EURUSD,2020-08-14 12:00:00,1,4.001886792452675,2.5509433962264128,2.49698113207547,0,-1,-1,-1,-1,-1,-1,1,False
EURUSD,2020-08-20 12:00:00,1,4.73600000000016,-1.0,-1.0381333333333342,0,-1,-1,-1,-1,-1,-1,-1,False
EURUSD,2020-08-21 00:00:00,1,1.2559171597633525,-1.0,-1.0211538461538465,0,1,1,1,-1,-1,-1,1,False
EURUSD,2020-08-21 12:00:00,-1,0.9584487534626183,-0.14035087719298064,-0.1535549399815311,0,1,1,1,-1,-1,-1,1,False
EURUSD,2020-08-22 00:00:00,1,4.073529411764864,0.8455882352941892,0.8105392156863449,0,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-08-25 00:00:00,-1,1.6443850267380062,0.2032085561497616,0.17771836007132974,0,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-08-26 00:00:00,-1,9.109374999999321,-1.0,-1.1489583333333222,0,1,1,1,-1,-1,-1,1,False
EURUSD,2020-08-27 00:00:00,1,0.965390279823271,-1.0,-1.0210603829160534,0,1,1,1,-1,-1,-1,1,False
EURUSD,2020-08-27 12:00:00,-1,2.784552845528366,-1.0,-1.0387533875338757,0,1,1,1,-1,-1,-1,1,False
EURUSD,2020-08-28 00:00:00,-1,1.0258302583025884,-1.0,-1.017589175891759,0,-1,-1,-1,-1,-1,-1,-1,False
EURUSD,2020-09-01 00:00:00,-1,2.8668941979521088,-1.0,-1.0488054607508517,0,-1,-1,-1,-1,-1,-1,1,False
EURUSD,2020-09-02 00:00:00,-1,1.033258173618933,1.033258173618933,1.017136414881616,1,-1,-1,-1,-1,-1,-1,-1,False
EURUSD,2020-09-03 00:00:00,1,5.002118644067998,-1.0,-1.0605932203389852,0,-1,-1,-1,-1,-1,-1,-1,False
EURUSD,2020-09-04 00:00:00,-1,3.7051282051281724,-1.0,-1.061111111111111,0,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-09-04 12:00:00,-1,3.8946188340807217,1.0627802690583104,0.9986547085201924,0,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-09-05 00:00:00,1,0.8567615658362682,-0.48042704626337485,-0.5058718861210263,0,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-09-08 00:00:00,1,7.499999999999537,-1.0,-1.1986111111110962,0,-1,-1,-1,-1,-1,-1,-1,False
EURUSD,2020-09-09 12:00:00,1,5.125000000000366,5.125000000000366,5.025694444444802,1,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-09-11 00:00:00,-1,0.7970244420829089,-0.5526036131774724,-0.5678002125398527,0,-1,-1,-1,-1,-1,-1,1,False
EURUSD,2020-09-15 00:00:00,-1,3.358851674640924,-1.0,-1.068421052631574,0,-1,-1,-1,1,1,1,1,False
EURUSD,2020-09-15 12:00:00,1,1.324615384615464,-1.0,-1.0440000000000003,0,-1,-1,-1,1,1,1,1,False
EURUSD,2020-09-16 12:00:00,1,2.184278350515475,-1.0,-1.036855670103094,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-09-17 12:00:00,1,1.958149779735702,0.6857562408223474,0.6647577092511285,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-09-18 12:00:00,-1,3.579044117647004,-1.0,-1.0525735294117635,0,1,1,1,1,1,1,1,False
EURUSD,2020-09-19 00:00:00,-1,1.809375000000062,-1.0,-1.0446875000000018,0,1,1,1,1,1,1,-1,False
EURUSD,2020-09-21 12:00:00,-1,0.8736910994763986,0.8736910994763986,0.8549738219894878,1,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-09-22 12:00:00,1,3.004687499999892,-1.0,-1.0446874999999987,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-09-25 00:00:00,-1,5.227611940298856,0.1567164179104923,0.05000000000003631,0,1,1,1,1,1,1,1,False
EURUSD,2020-09-26 00:00:00,1,5.5288461538463425,4.08333333333331,3.9916666666666436,0,1,1,1,1,1,1,-1,False
EURUSD,2020-09-30 12:00:00,-1,1.6540880503143525,-1.0,-1.029979035639412,0,0,1,1,1,1,1,1,False
EURUSD,2020-10-01 00:00:00,1,2.3766233766232934,0.09350649350646849,0.05636363636361261,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-10-02 12:00:00,1,2.4540636042401798,2.4540636042401798,2.4035335689044928,1,-1,-1,-1,1,1,1,1,False
EURUSD,2020-10-06 12:00:00,-1,14.197674418607011,-1.0,-1.3325581395349375,0,-1,-1,-1,1,1,1,1,False
EURUSD,2020-10-07 00:00:00,-1,0.7372521246459033,-0.2790368271954687,-0.29929178470255063,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-10-07 12:00:00,1,2.3676171079430324,-0.28309572301425884,-0.31221995926680485,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-10-08 00:00:00,-1,4.844720496893955,-1.0,-1.0888198757763914,0,1,1,1,1,1,1,1,False
EURUSD,2020-10-08 12:00:00,1,4.537974683544127,-1.0,-1.1810126582278324,0,1,1,1,1,1,1,1,False
EURUSD,2020-10-09 00:00:00,1,1.2982456140350958,1.2982456140350958,1.2564327485380196,1,1,1,1,1,1,1,1,False
EURUSD,2020-10-12 12:00:00,1,7.662162162162632,-1.0,-1.193243243243253,0,-1,-1,-1,0,1,1,1,False
EURUSD,2020-10-14 12:00:00,1,3.5821678321679475,-1.0,-1.0500000000000025,0,0,-1,-1,0,1,1,-1,False
EURUSD,2020-10-15 00:00:00,-1,1.9220532319389945,1.9220532319389945,1.8676806083648527,1,1,1,1,0,1,1,1,False
EURUSD,2020-10-16 00:00:00,1,4.55000000000058,4.55000000000058,4.4705555555561265,1,1,1,1,0,1,1,-1,False
EURUSD,2020-10-17 00:00:00,-1,2.0727272727272763,-1.0,-1.0433333333333323,0,1,1,1,0,1,1,1,False
EURUSD,2020-10-19 12:00:00,1,0.5978391356542635,0.5978391356542635,0.5806722689075647,1,1,1,1,0,1,1,1,False
EURUSD,2020-10-20 00:00:00,-1,5.0810276679842845,-1.0,-1.0565217391304365,0,1,1,1,0,1,1,1,False
EURUSD,2020-10-20 12:00:00,1,0.9727074235807528,0.9727074235807528,0.9414847161571722,1,1,1,1,0,1,1,1,False
EURUSD,2020-10-22 00:00:00,-1,2.1855670103093514,2.1855670103093514,2.1364261168385603,1,0,0,-1,0,1,1,1,False
EURUSD,2020-10-23 12:00:00,1,0.6509433962264136,-0.5420240137221356,-0.566552315608928,0,0,0,-1,0,1,1,-1,False
EURUSD,2020-10-27 12:00:00,1,0.982258064516085,-1.0,-1.046129032258063,0,1,1,1,0,1,1,-1,False
EURUSD,2020-10-28 00:00:00,-1,0.992462311557814,0.992462311557814,0.9685092127303434,1,1,1,1,0,1,1,-1,False
EURUSD,2020-11-02 12:00:00,1,3.254325259515465,3.254325259515465,3.2048442906573342,1,0,1,1,0,0,1,-1,False
EURUSD,2020-11-04 12:00:00,-1,1.6161137440758153,-1.0,-1.0225908372827799,0,0,1,1,0,0,1,1,False
EURUSD,2020-11-07 00:00:00,-1,6.14423076923119,-1.0,-1.0687500000000045,0,-1,-1,-1,0,0,1,1,False
EURUSD,2020-11-09 12:00:00,-1,4.444029850746395,-1.0,-1.106716417910456,0,-1,-1,-1,1,1,1,1,False
EURUSD,2020-11-10 00:00:00,-1,0.6256517205422184,0.6256517205422184,0.6107403545359622,1,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-11-10 12:00:00,1,8.992788461539268,-1.0,-1.0687500000000045,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-11-12 00:00:00,1,3.1331360946744367,0.9644970414200188,0.9221893491123285,0,1,1,1,1,1,1,-1,False
EURUSD,2020-11-14 00:00:00,-1,8.296874999999876,-1.0,-1.223437500000009,0,1,1,1,1,1,1,1,False
EURUSD,2020-11-16 12:00:00,-1,1.106060606060629,-1.0,-1.0361111111111114,0,1,1,1,-1,-1,-1,1,False
EURUSD,2020-11-17 00:00:00,1,1.4401330376939905,0.1973392461196968,0.16563192904652618,0,1,1,1,-1,-1,-1,1,False
