F,obj,mot,R,neta,rgo,lado,anio
0.5,1:2,SL,-1.0,-1.2252252252252456,2.2199999999998,1,2020
0.618,nivel,SL,-1.0,-1.2803633509028012,1.7833999999998014,1,2020
0.618,1:2,SL,-1.0,-1.2803633509028012,1.7833999999998014,1,2020
0.705,nivel,TP,0.005815942524743992,-0.3362983236401815,1.4614999999998872,1,2020
0.705,1:2,SL,-1.0,-1.3421142661649255,1.4614999999998872,1,2020
0.79,nivel,TP,0.28160418482989,-0.1543156059286353,1.1469999999999345,1,2020
0.79,1:2,SL,-1.0,-1.4359197907585253,1.1469999999999345,1,2020
0.5,nivel,SL,-1.0,-1.2252252252252456,2.2199999999998,1,2020
0.5,1:2,SL,-1.0,-1.2252252252252456,2.2199999999998,1,2020
0.618,nivel,SL,-1.0,-1.2803633509028012,1.7833999999998014,1,2020
0.618,1:2,SL,-1.0,-1.2803633509028012,1.7833999999998014,1,2020
0.705,nivel,TP,0.005815942524743992,-0.3362983236401815,1.4614999999998872,1,2020
0.705,1:2,SL,-1.0,-1.3421142661649255,1.4614999999998872,1,2020
0.79,nivel,TP,0.28160418482989,-0.1543156059286353,1.1469999999999345,1,2020
0.79,1:2,SL,-1.0,-1.4359197907585253,1.1469999999999345,1,2020
0.5,nivel,SL,-1.0,-1.0594601022713783,8.40899999999965,-1,2020
0.5,1:2,SL,-1.0,-1.0594601022713783,8.40899999999965,-1,2020
0.5,nivel,SL,-1.0,-1.0594601022713783,8.40899999999965,-1,2020
0.5,1:2,SL,-1.0,-1.0594601022713783,8.40899999999965,-1,2020
0.5,nivel,TP,0.07187164499586868,0.022167879438588035,10.059599999999591,1,2020
0.5,1:2,fuera,0.7890969819874427,0.7393932164301621,10.059599999999591,1,2020
0.618,nivel,TP,0.33428005601146726,0.2724081486787522,8.081211999999596,1,2020
0.618,1:2,TP,2.0,1.938128092667285,8.081211999999596,1,2020
0.705,nivel,TP,0.628159460753153,0.552660070033236,6.622569999999996,1,2020
0.705,1:2,TP,2.0,1.9245006092800832,6.622569999999996,1,2020
0.79,nivel,TP,0.20820554655543466,0.1120047099929574,5.1974599999998645,1,2020
0.79,1:2,TP,2.0,1.9037991634375226,5.1974599999998645,1,2020
0.5,nivel,TP,0.07187164499586868,0.022167879438588035,10.059599999999591,1,2020
0.5,1:2,fuera,0.7890969819874427,0.7393932164301621,10.059599999999591,1,2020
0.618,nivel,TP,0.33428005601146726,0.2724081486787522,8.081211999999596,1,2020
0.618,1:2,TP,2.0,1.938128092667285,8.081211999999596,1,2020
0.705,nivel,TP,0.628159460753153,0.552660070033236,6.622569999999996,1,2020
0.705,1:2,TP,2.0,1.9245006092800832,6.622569999999996,1,2020
0.79,nivel,TP,0.20820554655543466,0.1120047099929574,5.1974599999998645,1,2020
0.79,1:2,TP,2.0,1.9037991634375226,5.1974599999998645,1,2020
0.5,nivel,SL,-1.0,-1.0788693292952263,6.339599999999791,1,2020
0.5,1:2,SL,-1.0,-1.0788693292952263,6.339599999999791,1,2020
0.618,nivel,SL,-1.0,-1.098177588334306,5.092811999999867,1,2020
0.618,1:2,SL,-1.0,-1.098177588334306,5.092811999999867,1,2020
0.705,nivel,SL,-1.0,-1.1198015128535064,4.173569999999927,1,2020
0.705,1:2,SL,-1.0,-1.1198015128535064,4.173569999999927,1,2020
0.79,nivel,SL,-1.0,-1.1526503147649565,3.275459999999839,1,2020
0.79,1:2,SL,-1.0,-1.1526503147649565,3.275459999999839,1,2020
0.5,nivel,SL,-1.0,-1.0788693292952263,6.339599999999791,1,2020
0.5,1:2,SL,-1.0,-1.0788693292952263,6.339599999999791,1,2020
0.618,nivel,SL,-1.0,-1.098177588334306,5.092811999999867,1,2020
0.618,1:2,SL,-1.0,-1.098177588334306,5.092811999999867,1,2020
0.705,nivel,SL,-1.0,-1.1198015128535064,4.173569999999927,1,2020
0.705,1:2,SL,-1.0,-1.1198015128535064,4.173569999999927,1,2020
0.79,nivel,SL,-1.0,-1.1526503147649565,3.275459999999839,1,2020
0.79,1:2,SL,-1.0,-1.1526503147649565,3.275459999999839,1,2020
0.5,nivel,SL,-1.0,-1.0788693292952263,6.339599999999791,1,2020
0.5,1:2,SL,-1.0,-1.0788693292952263,6.339599999999791,1,2020
0.618,nivel,SL,-1.0,-1.098177588334306,5.092811999999867,1,2020
0.618,1:2,SL,-1.0,-1.098177588334306,5.092811999999867,1,2020
0.705,nivel,SL,-1.0,-1.1198015128535064,4.173569999999927,1,2020
0.705,1:2,SL,-1.0,-1.1198015128535064,4.173569999999927,1,2020
0.79,nivel,SL,-1.0,-1.1526503147649565,3.275459999999839,1,2020
0.79,1:2,SL,-1.0,-1.1526503147649565,3.275459999999839,1,2020
0.5,nivel,SL,-1.0,-1.0788693292952263,6.339599999999791,1,2020
0.5,1:2,SL,-1.0,-1.0788693292952263,6.339599999999791,1,2020
0.618,nivel,SL,-1.0,-1.098177588334306,5.092811999999867,1,2020
0.618,1:2,SL,-1.0,-1.098177588334306,5.092811999999867,1,2020
0.705,nivel,SL,-1.0,-1.1198015128535064,4.173569999999927,1,2020
0.705,1:2,SL,-1.0,-1.1198015128535064,4.173569999999927,1,2020
0.79,nivel,SL,-1.0,-1.1526503147649565,3.275459999999839,1,2020
0.79,1:2,SL,-1.0,-1.1526503147649565,3.275459999999839,1,2020
0.5,nivel,TP,0.11086419753082637,0.04913580246909728,8.099999999999909,-1,2020
0.5,1:2,SL,-1.0,-1.0617283950617291,8.099999999999909,-1,2020
0.618,nivel,TP,0.3828185031503776,0.3059781773473969,6.507000000000062,-1,2020
0.618,1:2,SL,-1.0,-1.0768403258029806,6.507000000000062,-1,2020
0.705,nivel,SL,-1.0,-1.0937646507266763,5.332499999999982,-1,2020
0.705,1:2,SL,-1.0,-1.0937646507266763,5.332499999999982,-1,2020
0.5,nivel,TP,0.06170886075947488,-0.004219409282720667,7.583999999999833,-1,2020
0.5,1:2,SL,-1.0,-1.0659282700421955,7.583999999999833,-1,2020
0.618,nivel,TP,0.32162928725237483,0.23956090130773827,6.092480000000251,-1,2020
0.618,1:2,SL,-1.0,-1.0820683859446365,6.092480000000251,-1,2020
0.705,nivel,TP,0.6127223201409426,0.5125781124819134,4.992799999999988,-1,2020
0.705,1:2,SL,-1.0,-1.1001442076590293,4.992799999999988,-1,2020
0.79,nivel,SL,-1.0,-1.1276031033074718,3.9184000000000196,-1,2020
0.79,1:2,SL,-1.0,-1.1276031033074718,3.9184000000000196,-1,2020
0.5,nivel,TP,0.06170886075947488,-0.004219409282720667,7.583999999999833,-1,2020
0.5,1:2,SL,-1.0,-1.0659282700421955,7.583999999999833,-1,2020
0.618,nivel,TP,0.32162928725237483,0.23956090130773827,6.092480000000251,-1,2020
0.618,1:2,SL,-1.0,-1.0820683859446365,6.092480000000251,-1,2020
0.705,nivel,TP,0.6127223201409426,0.5125781124819134,4.992799999999988,-1,2020
0.705,1:2,SL,-1.0,-1.1001442076590293,4.992799999999988,-1,2020
