conf,ses,clave,lado,t,tent,ent,stop,rgo,obj,gano,rgoP,cpc,Rb,Rn
C2,londres,lo,1,2020-01-09 13:10:00,2020-01-09 12:10:00,1.11123,1.11033,0.0008999999999999009,1.1130299999999997,0,8.999999999999009,15.888888888890639,-1.0,-1.1588888888889064
C1,londres,hi,-1,2020-01-13 10:05:00,2020-01-13 09:05:00,1.1129,1.11361,0.0007099999999999884,1.11148,1,7.099999999999884,20.140845070422863,2.0,1.7985915492957714
C2,londres,hi,-1,2020-01-13 10:10:00,2020-01-13 09:10:00,1.11276,1.11361,0.0008500000000000174,1.11106,0,8.500000000000174,16.823529411764362,-1.0,-1.1682352941176437
C1,londres,lo,1,2020-01-13 11:00:00,2020-01-13 10:00:00,1.1117,1.11125,0.0004499999999998394,1.1125999999999996,1,4.499999999998394,31.77777777778912,2.0,1.6822222222221088
C2,londres,lo,1,2020-01-13 11:05:00,2020-01-13 10:05:00,1.11174,1.11125,0.0004899999999998794,1.1127199999999997,1,4.899999999998794,29.183673469394936,2.0,1.7081632653060508
C1,londres,lo,1,2020-01-13 11:30:00,2020-01-13 10:30:00,1.11155,1.11145,9.999999999998899e-05,1.11175,0,0.9999999999998899,143.00000000001575,-1.0,-2.4300000000001574
C2,londres,lo,1,2020-01-13 11:35:00,2020-01-13 10:35:00,1.11174,1.11145,0.00028999999999990145,1.1123199999999998,1,2.8999999999990145,49.31034482760296,2.0,1.5068965517239703
C1,londres,lo,1,2020-01-14 10:00:00,2020-01-14 09:00:00,1.11325,1.11311,0.000140000000000029,1.1135300000000001,0,1.40000000000029,102.142857142836,-1.0,-2.02142857142836
C2,londres,lo,1,2020-01-14 10:20:00,2020-01-14 09:20:00,1.11354,1.11311,0.00042999999999993044,1.1143999999999998,0,4.299999999999304,33.25581395349375,-1.0,-1.3325581395349375
C1,londres,lo,1,2020-01-14 10:10:00,2020-01-14 09:10:00,1.11319,1.11304,0.00014999999999987246,1.1134899999999996,1,1.4999999999987246,95.33333333341439,2.0,1.046666666665856
C2,londres,lo,1,2020-01-14 10:15:00,2020-01-14 09:15:00,1.11328,1.11304,0.00024000000000001798,1.11376,0,2.4000000000001798,59.58333333332887,-1.0,-1.5958333333332888
C1,londres,lo,1,2020-01-14 10:35:00,2020-01-14 09:35:00,1.11324,1.11307,0.00017000000000000348,1.11358,0,1.7000000000000348,84.1176470588218,-1.0,-1.841176470588218
C2,londres,lo,1,2020-01-14 10:50:00,2020-01-14 09:50:00,1.11336,1.11307,0.00028999999999990145,1.1139399999999997,0,2.8999999999990145,49.31034482760296,-1.0,-1.4931034482760297
C1,londres,lo,1,2020-01-14 10:50:00,2020-01-14 09:50:00,1.11333,1.11303,0.00029999999999996696,1.1139299999999999,0,2.9999999999996696,47.666666666671915,-1.0,-1.4766666666667192
