dia,cierre_min,crt_h4_cer,crt_h4_viva,pos_h4,crt_m15,crt_m15_viva
2025-10-29,665,0,0,1.7596899224805975,0,0
2025-10-29,670,0,0,1.6124031007752404,0,-1
2025-10-29,675,0,0,1.3643410852712912,0,0
2025-10-29,680,0,0,1.2558139534883241,0,0
2025-10-29,685,0,1,0.8217054263566278,0,0
2025-10-29,690,0,1,0.7054263565891139,0,0
2025-12-15,480,0,0,0.40251572327042884,0,-1
2025-12-15,485,0,0,0.26415094339614476,-1,0
2025-12-15,490,0,0,0.23899371069171674,-1,0
2025-12-15,495,0,0,0.2138364779874284,-1,0
2025-12-15,500,0,0,0.25157232704400057,0,0
2025-12-15,505,0,0,0.3962264150942869,0,0
2025-12-15,510,0,0,0.33962264150942867,0,0
2025-12-15,515,0,0,0.3962264150942869,0,0
2025-12-15,520,0,0,0.27672955974842856,0,0
2025-12-15,525,0,0,0.2138364779874284,0,0
2025-12-15,530,0,0,0.2578616352201425,0,1
2025-12-15,535,0,0,0.044025157232714066,0,0
2025-12-15,540,0,0,-0.0314465408805699,0,0
2025-12-15,545,0,0,0.0,0,1
2025-12-15,550,0,0,0.031446540880430245,0,1
2025-12-15,555,0,0,0.0754716981131443,0,1
2025-12-15,560,0,0,0.3018867924527169,1,0
2025-12-15,565,0,0,0.2830188679244308,1,0
2025-12-15,570,0,0,0.26415094339614476,1,0
2025-12-15,575,0,1,0.5660377358490013,0,0
2025-12-15,580,0,1,0.4339622641508591,0,0
2025-12-15,585,0,1,0.45283018867914515,0,0
2025-12-15,590,0,0,0.3584905660377148,0,0
2025-12-15,595,0,0,0.32704402515714487,0,0
2025-12-15,600,0,0,0.14465408805028637,0,0
2025-12-15,605,0,1,0.415094339622573,0,1
2025-12-15,610,0,1,0.6415094339622852,0,0
2025-12-15,615,0,0,0.8238993710691438,0,0
2025-12-15,620,0,1,0.7232704402515715,0,0
2025-12-15,625,0,1,0.6918238993710015,0,0
2025-12-15,630,0,0,0.8427672955974298,0,0
2025-12-15,635,0,1,0.7735849056602878,0,0
2025-12-15,640,0,1,0.7421383647798575,0,0
2025-12-15,645,0,1,0.8050314465408577,0,0
2025-12-15,650,0,1,0.7924528301885738,0,0
2025-12-15,655,0,1,0.7547169811320017,0,0
2025-12-15,660,0,0,0.90566037735843,0,0
